ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
lin x	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Residual lens cortex material: Potential risk factor for endophthalmitis after phacoemulsification cataract surgery
lin x	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Preliminary Study to Treat Severe Endophthalmitis via a Foldable Capsular Vitreous Body with Sustained Levofloxacin Release in Rabbits
lin x	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	Comprehensive Analysis of Inflammatory Immune Mediators of the Intraocular Fluid Aspirated from the Foldable Capsular Vitreous Body Filled-Eyes
lin x	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endogenous aspergillus endophthalmitis after kidney transplantation
lin x	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CLASSIFICATION OF FULL-THICKNESS TRAUMATIC MACULAR HOLES BY OPTICAL COHERENCE TOMOGRAPHY
lin x	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Evaluation of the Flexibility, Efficacy, and Safety of a Foldable Capsular Vitreous Body in the Treatment of Severe Retinal Detachment
lin zhi	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Refractive Shifts in Four Selected Artificial Vitreous Substitutes Based on Gullstrand-Emsley and Liou-Brennan Schematic Eyes
ling jin	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual outcomes of cataract surgery performed by supervised novice surgeons during training in rural China
ling yunlan	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Anatomic and Visual Outcomes of Initially Closed Macular Holes
liu a	China:Jinan Univ, Inst Biomed Engn, Guangzhou,Peoples R China. Jinan University	EYE	A new strategy to replace the natural vitreous by a novel capsular artificial vitreous body with pressure-control valve
liu bin	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual outcomes of cataract surgery performed by supervised novice surgeons during training in rural China
liu chun	China:People Hosp Dongguan, Dept Oncol, Dongguan,Peoples R China. 	MOLECULAR VISION	A novel TACSTD2 mutation identified in two Chinese brothers with gelatinous drop-like corneal dystrophy
liu dan	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	OPHTHALMOLOGICA	Netrin-1 Overexpression in Oxygen-Induced Retinopathy Correlates with Breakdown of the Blood-Retina Barrier and Retinal Neovascularization
liu liu	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	BMC OPHTHALMOLOGY	Prevalence and risk factors of posterior vitreous detachment in a Chinese adult population: the Handan eye study
liu liu	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Retrocapsular lens matter in uneventful phacoemulsification: does it really exist?
liu fang	China:Wenzhou Med Coll, Suzhou Eye Hosp, Dept Retina & Vitreous, Suzhou 215002, Jiangsu,Peoples R China. Wenzhou Medical University	CURRENT EYE RESEARCH	The efficacy of intravitreal vancomycin and dexamethasone in the treatment of experimental Bacillus cereus endophthalmitis
liu haiyang	China:Shanghai Jiao Tong Univ, Eye Res Inst, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGICA	Nerve growth factor helps protect retina in experimental retinal detachment
liu haiyun	China:Shanghai Jiao Tong Univ, Shanghai Peoples Hosp 1, Dept Ophthalmol, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Vitrectomy With or Without Preoperative Intravitreal Bevacizumab for Proliferative Diabetic Retinopathy: A Meta-Analysis of Randomized Controlled Trials
liu hongan	China:Peking Univ, Peking Univ Eye Ctr, Peking Univ Hosp 3, Beijing 100191,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Lipid Nanoparticle System Improves siRNA Efficacy in RPE Cells and a Laser-Induced Murine CNV Model
liu honglei	China:Fourth Mil Med Univ, Xijing Hosp, Dept Ophthalmol, Xian 710032, Shaanxi,Peoples R China. Fourth Military Medical University	CURRENT EYE RESEARCH	Increased levels of soluble syndecan-1 in the subretinal fluid and the vitreous of eyes with rhegmatogenous retinal detachment
liu jianjun	China:Chinese Acad Med Sci, Dept Anesthesiol, Peking Union Med Coll Hosp, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Idiopathic phacodonesis in senile cataract patients in Qinghai, China
liu jiaolian	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	OPHTHALMOLOGICA	Netrin-1 Overexpression in Oxygen-Induced Retinopathy Correlates with Breakdown of the Blood-Retina Barrier and Retinal Neovascularization
liu jingfang	China:Xi An Jiao Tong Univ, First Hosp Affiliated Med Coll, Xian 710049,Peoples R China. Xian Jiaotong University	MOLECULAR VISION	Changes to tear cytokines of type 2 diabetic patients with or without retinopathy
liu juncai	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Risk Factors, Clinical Features, and Outcomes of Recurrent Fungal Keratitis after Corneal Transplantation
liu ke	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Genetic associations in polypoidal choroidal vasculopathy: A systematic review and meta-analysis
liu kegao	China:Capital Med Univ, Beijing Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Long-Term Rescue of Rat Retinal Ganglion Cells and Visual Function by AAV-Mediated BDNF Expression after Acute Elevation of Intraocular Pressure
liu kun	China:Shanghai Jiao Tong Univ, Shanghai Peoples Hosp 1, Dept Ophthalmol, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Vitrectomy With or Without Preoperative Intravitreal Bevacizumab for Proliferative Diabetic Retinopathy: A Meta-Analysis of Randomized Controlled Trials
liu kun	China:Shanghai Jiao Tong Univ, Shanghai Peoples Hosp 1, Dept Ophthalmol, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGY	Acute Intraocular Inflammation Caused by Endotoxin after Intravitreal Injection of Counterfeit Bevacizumab in Shanghai, China
liu lan	China:Third Mil Med Univ, Xinqiao Hosp, Dept Ophthalmol, Chongqing 400038,Peoples R China. Third Military Medical University	MOLECULAR VISION	Combined effect of olfactory ensheathing cell (OEC) transplantation and glial cell line-derived neurotrophic factor (GDNF) intravitreal injection on optic nerve injury in rats
liu limin	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of adenovirus -mediated brain derived neurotrophic factor in early retinal neuropathy of diabetes in rats
liu limin	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combine intravitreal bevacizumab with Nd: YAG laser hyaloidotomy for valsalva pre-macular haemorrhage and observe the internal limiting membrane changes: a spectralis study
liu lin	China:Second Mil Med Univ, Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Erythropoietin receptor antibody inhibits oxidative stress induced retinal neovascularization in mice
liu liwei	China:Taishan Med Univ, Dept Histol & Embryol, Tai An 271000, Shandong,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	Hydrogen-rich saline protects retina against glutamate-induced excitotoxic injury in guinea pig
liu ningning	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of adenovirus -mediated brain derived neurotrophic factor in early retinal neuropathy of diabetes in rats
liu ningpu	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	MOLECULAR VISION	R213W mutation in the retinoschisis 1 gene causes X-linked juvenile retinoschisis in a large Chinese family
liu qinghuai	China:Nanjing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	CURRENT EYE RESEARCH	Pharmacokinetics of HM-3 After Intravitreal Administration in Mice
liu qinghuai	China:Nanjing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Osteopontin expression in vitreous and proliferative retinal membranes of patients with proliferative vitreous retinopathy
liu rui	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	Effects of different monochromatic lights on refractive development and eye growth in guinea pigs
liu rui	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	JOURNAL OF VISION	Transfer from blue light or green light to white light partially reverses changes in ocular refraction and anatomy of developing guinea pigs
liu shuangzhen	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Mechanism of the DL-alpha-aminoadipic acid inhibitory effect on form-deprived myopia in guinea pig
liu shuangzhen	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp, Changsha 410008, Hunan,Peoples R China. Central South University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	The correlation between the regulation of recombinant human IGF-2 on eye growth and form-deprivation in guinea pig
liu sumeng	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PHARMACOKINETIC COMPARISON OF KETOROLAC AFTER INTRACAMERAL, INTRAVITREAL, AND SUPRACHOROIDAL ADMINISTRATION IN RABBITS
liu t	China:Chinese Peoples Liberat Army Gen Hosp, Dept Ophthalmol, Hainan Branch, Sanya,Peoples R China. 	EYE	Ophthalmic manifestations in a Chinese family with familial amyloid polyneuropathy due to a TTR Gly83Arg mutation
liu ting	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Prophylactic Effect of Topical Fluoroquinolones in a Rabbit Model of Staphylococcus aureus Endophthalmitis
liu wei	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Fudan University	CURRENT EYE RESEARCH	Expression of Macrophage Colony-Stimulating Factor (M-CSF) and Its Receptor in Streptozotocin-Induced Diabetic Rats
liu wen	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	The effectiveness of progressive addition lenses on the progression of myopia in Chinese children
liu wen	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMIC AND PHYSIOLOGICAL OPTICS	A longitudinal study on the relationship between myopia development and near accommodation lag in myopic children
liu wu	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PHARMACOKINETIC COMPARISON OF KETOROLAC AFTER INTRACAMERAL, INTRAVITREAL, AND SUPRACHOROIDAL ADMINISTRATION IN RABBITS
liu wu	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Non-buckled vitrectomy for retinal detachment with inferior breaks and proliferative vitreoretinophathy
liu wu	China:Peking Univ, Sch Publ Hlth, Dept Epidemiol & Biostat, Beijing 100871,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical CollegePeking UniversityUnion School of Public Health - PUMC	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Prevalence and Associations of Epiretinal Membranes in a Rural Chinese Adult Population: The Handan Eye Study
liu x	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	EYE	Determination of visual prognosis in children with open globe injuries
liu xiaocui	China:Fourth Mil Med Univ, Dept Ophthalmol, Tangdu Hosp, Xian 710038,Peoples R China. Fourth Military Medical University	EXPERIMENTAL EYE RESEARCH	A rabbit model to study biochemical damage to the lens after vitrectomy: Effects of N-acetylcysteine
liu xiaohong	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Ruijin Hosp, Affiliated Med Sch, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Ahmed valve implantation for neovascular glaucoma after 23-gauge vitrectomy in eyes with proliferative diabetic retinopathy
liu xiaoqiang	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003,Peoples R China. Wenzhou Medical University	MOLECULAR VISION	Gene therapy following subretinal AAV5 vector delivery is not affected by a previous intravitreal AAV5 vector administration in the partner eye
liu xiaowei	China:Chinese Acad Med Sci, Dept Ophthalmol, Peking Union Med Coll Hosp, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Idiopathic phacodonesis in senile cataract patients in Qinghai, China
liu xiaoyi	China:Nanjing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	CURRENT EYE RESEARCH	Pharmacokinetics of HM-3 After Intravitreal Administration in Mice
liu xiaoyi	China:Nanjing Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Osteopontin expression in vitreous and proliferative retinal membranes of patients with proliferative vitreous retinopathy
liu xin	China:Second Mil Med Univ, Changhai Hosp, Dept Ophthalmol, Shanghai 200433,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Combined lens and vitreoretinal surgery in patients with traumatic cataract and intraocular foreign body
liu xing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Comparison of full-thickness traumatic macular holes and idiopathic macular holes by optical coherence tomography
liu xing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	CLASSIFICATION OF FULL-THICKNESS TRAUMATIC MACULAR HOLES BY OPTICAL COHERENCE TOMOGRAPHY
liu xipu	China:Sekwa Eye Hosp, Beijing,Peoples R China. 	MOLECULAR VISION	R213W mutation in the retinoschisis 1 gene causes X-linked juvenile retinoschisis in a large Chinese family
liu xuejun	China:Hosp PLA, Dept Ophthalmol, Huaihua City, Hunan,Peoples R China. 	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Two-hook technique for nucleus extraction in manual sutureless extracapsular cataract extraction
liu xueqin	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin 150001,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Effect of Borneol on the Distribution of Danshensu to the Eye in Rabbit via Oral Administration
liu y	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	EYE	Determination of visual prognosis in children with open globe injuries
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Assessment of the innate and adaptive immune system in proliferative vitreoretinopathy
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Evaluation of supporting role of a foldable capsular vitreous body with magnetic resonance imaging in the treatment of severe retinal detachment in human eyes
liu y	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PRELIMINARY EFFICACY AND SAFETY OF A SILICONE OIL-FILLED FOLDABLE CAPSULAR VITREOUS BODY IN THE TREATMENT OF SEVERE RETINAL DETACHMENT
