abdulhalim sancar	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430072, Hubei,Peoples R China. Wuhan University	PLOS ONE	Anti-VEGF Agents with or without Antimetabolites in Trabeculectomy for Glaucoma: A Meta-Analysis
hu jun	China:Huazhong Univ Sci & Technol, Tongji Med Coll, Tongji Hosp, Dept Ophthalmol, Wuhan 430030, Hubei Province,Peoples R China. Huazhong University of Science & Technology	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	The influence of He-Ne laser on scar formation after trabeculectomy in rabbits
hu liann	China:th Hosp PLA, Dept Ophthalmol, Beijing,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Frequency and associated factors of structural progression of open-angle glaucoma in the Beijing Eye Study
hu liting	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of corneal graft diameter on therapeutic penetrating keratoplasty for fungal keratitis
hu nan	China:Nantong Univ, Affiliated Hosp, Inst Eye, Nantong, Jiangsu,Peoples R China. Nantong University	MOLECULAR VISION	Association of frizzled-related protein (MFRP) and heat shock protein 70 (HSP70) single nucleotide polymorphisms with primary angle closure in a Han Chinese population: Jiangsu Eye Study
hu saijing	China:Wenzhou Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Wenzhou 325000, Zhejiang,Peoples R China. Wenzhou Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Surgical management of secondary glaucoma in Fuchs' heterochromic iridocyclitis
hu xiaopeng	China:Chongqing Med Univ, Dept Ophthalmol, Affiliated Hosp 2, Chongqing 400010,Peoples R China. Chongqing Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Multifocal VEP in patients with optic nerve disease
hu yongxia	China:Capital Med Univ, Beijing Friendship Hosp, Dept Ophthalmol, Beijing 100050,Peoples R China. Capital Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Corneal endothelial decompensation secondary to iridoschisis in degenerative myopic eyes: a case report
hu yuanyuan	China:Shandong Univ Tradit Chinese Med, Affiliated Hosp 2, Jinan, Shandong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intraocular Pressure and Associated Factors in Children: The Shandong Children Eye Study
hu zhengmao	China:State Key Lab Med Genet, Changsha,Peoples R China. 	MOLECULAR VISION	Clinical and genetic features of a dominantly-inherited microphthalmia pedigree from China
huang chao	China:Shandong Univ, Qilu Hosp, Dept Ophthalmol, Jinan 250012, Shandong,Peoples R China. Shandong University	BMC OPHTHALMOLOGY	Retinal vein occlusion in retinal racemose hemangioma: a case report and literature review of ocular complications in this rare retinal vascular disorder
huang chukai	China:Chinese Univ Hong Kong, Shantou, Hong Kong,Peoples R China. Chinese University of Hong Kong	BMC OPHTHALMOLOGY	Association analysis of cigarette smoking with onset of primary open-angle glaucoma and glaucoma-related biometric parameters
huang chukai	China:Chinese Univ Hong Kong, Shantou, Hong Kong,Peoples R China. Chinese University of Hong Kong	CURRENT EYE RESEARCH	Corneal Hysteresis Is Correlated with Reduction in Axial Length After Trabeculectomy
huang chukai	China:Chinese Univ Hong Kong, Shantou, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Interactive Effects of ATOH7 and RFTN1 in Association with Adult-Onset Primary Open-Angle Glaucoma
huang chukai	China:Chinese Univ Hong Kong, Shantou, Hong Kong,Peoples R China. Chinese University of Hong Kong	CORNEA	Determinants of Postoperative Corneal Edema and Impact on Goldmann Intraocular Pressure
huang chukai	China:Joint Shantou Int Eye Ctr Shantou Univ & Chinese, Shantou,Peoples R China. 	MOLECULAR VISION	Adeno-associated virus-mediated expression of growth-associated protein-43 aggravates retinal ganglion cell death in experimental chronic glaucomatous injury
huang diandian	China:Peoples Liberat Army Gen Hosp, Dept Radiol, Beijing,Peoples R China. 	PLOS ONE	Reliability of Three-Dimensional Pseudo-Continuous Arterial Spin Labeling MR Imaging for Measuring Visual Cortex Perfusion on Two 3T Scanners
huang guofu	China:Nanchang Univ, Affiliated Hosp 3, Nanchang,Peoples R China. Nanchang University	BRITISH JOURNAL OF OPHTHALMOLOGY	Prevalence and characteristics of plateau iris configuration among American Caucasian, American Chinese and mainland Chinese subjects
huang guofu	China:Sun Yat Sen Univ, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Distribution and Heritability of Intraocular Pressure in Chinese Children: The Guangzhou Twin Eye Study
huang guofu	China:Sun Yat Sen Univ, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Outcomes of Cataract Surgery in Urban Southern China: The Liwan Eye Study
huang guofu	China:Sun Yat Sen Univ, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CURRENT EYE RESEARCH	Association of Lens Vault with Narrow Angles among Different Ethnic Groups
huang guofu	China:Sun Yat Sen Univ, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Comparison of anterior ocular segment biometry features and related factors among American Caucasians, American Chinese and mainland Chinese
huang guofu	China:Sun Yat Sen Univ, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Visual outcomes of cataract surgery performed by supervised novice surgeons during training in rural China
huang guofu	China:Univ Calif San Francisco, Dept Ophthalmol, San Francisco Sch Med, San Francisco, CA 94143 USA. University of California San FranciscoUniversity of California System	ARCHIVES OF OPHTHALMOLOGY	Anterior Chamber Depth, Iridocorneal Angle Width, and Intraocular Pressure Changes After Phacoemulsification Narrow vs Open Iridocorneal Angles
huang guofu	China:Univ Calif San Francisco, Dept Ophthalmol, San Francisco Sch Med, San Francisco, CA 94143 USA. University of California San FranciscoUniversity of California System	JOURNAL OF GLAUCOMA	Differences in Iris Thickness Among African Americans, Caucasian Americans, Hispanic Americans, Chinese Americans, and Filipino-Americans
huang guofu	China:Univ Calif San Francisco, Dept Ophthalmol, San Francisco Sch Med, San Francisco, CA 94143 USA. University of California San FranciscoUniversity of California System	CURRENT EYE RESEARCH	Anatomic Predictors for Anterior Chamber Angle Opening After Laser Peripheral Iridotomy in Narrow Angle Eyes
huang guofu	China:Univ Calif San Francisco, Dept Ophthalmol, San Francisco Sch Med, San Francisco, CA 94143 USA. University of California San FranciscoUniversity of California System	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Association of biometric factors with anterior chamber angle widening and intraocular pressure reduction after uneventful phacoemulsification for cataract
huang guofu	China:Univ Calif San Francisco, Dept Ophthalmol, San Francisco Sch Med, San Francisco, CA 94143 USA. University of California San FranciscoUniversity of California System	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Comparison of anterior segment morphology following prophylactic laser peripheral iridotomy in Caucasian and Chinese eyes
huang guofu	China:Univ Calif San Francisco, Dept Ophthalmol, San Francisco Sch Med, San Francisco, CA 94143 USA. University of California San FranciscoUniversity of California System	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Ethnic differences in intraocular pressure reduction and changes in anterior segment biometric parameters following cataract surgery by phacoemulsification
huang guofu	China:Univ Calif San Francisco, Dept Ophthalmol, San Francisco Sch Med, San Francisco, CA 94143 USA. University of California San FranciscoUniversity of California System	OPHTHALMOLOGY	Association between Baseline Iris Thickness and Prophylactic Laser Peripheral Iridotomy Outcomes in Primary Angle-Closure Suspects
huang guofu	China:Univ Calif San Francisco, Dept Ophthalmol, San Francisco Sch Med, San Francisco, CA 94143 USA. University of California San FranciscoUniversity of California System	CURRENT EYE RESEARCH	Comparison of Optic Nerve Head Topography and Retinal Nerve Fiber Layer in Eyes with Narrow Angles Versus Eyes from a Normal Open Angle Cohort - A Pilot Study
huang haili	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	BRITISH JOURNAL OF OPHTHALMOLOGY	Position of the central retinal vessel trunk and pattern of remaining visual field in advanced glaucoma
huang haili	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Microstructure of Parapapillary Atrophy: Beta Zone and Gamma Zone
huang haili	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Expansion of Schlemm's Canal by Travoprost in Healthy Subjects Determined by Fourier-Domain Optical Coherence Tomography
huang haili	China:Fudan Univ, Dept Ophthalmol & Vis Sci, Eye & ENT Hosp, Shanghai Med Coll, Shanghai 200031,Peoples R China. Fudan University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Fourier domain OCT measurement of macular, macular ganglion cell complex, and peripapillary RNFL thickness in glaucomatous Chinese eyes
huang huadong	China:Qihe Country Hosp, Dept Ophthalmol, Qihe,Peoples R China. 	PLOS ONE	Color Doppler Imaging Analysis of Retrobulbar Blood Flow Velocities in Primary Open-Angle Glaucomatous Eyes: A Meta-Analysis
huang jingjing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Dept Glaucoma, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Inhibition of p38 mitogen-activated protein kinase phosphorylation decrease tert-butyl hydroperoxide-induced apoptosis in human trabecular meshwork cells
huang jingjing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Dept Glaucoma, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Damage patterns of retinal nerve fiber layer in acute and chronic intraocular pressure elevation in primary angle closure glaucoma
huang jingjing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Dept Glaucoma, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Investigation of the association between CALCRL polymorphisms and primary angle closure glaucoma
huang jingjing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Dept Glaucoma, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Quantitative Measurements of the Ciliary Body in Eyes with Malignant Glaucoma after Trabeculectomy Using Ultrasound Biomicroscopy
huang jingjing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Dept Glaucoma, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Signal Strength is an Important Determinant of Accuracy of Nerve Fiber Layer Thickness Measurement by Optical Coherence Tomography
huang jinhai	China:Wenzhou Med Univ, Affiliated Eye Hosp, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Surgical management of malignant glaucoma with white cataract in nanophthalmos
huang jinhai	China:Wenzhou Med Univ, Affiliated Eye Hosp, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	PLOS ONE	Retinal Nerve Fiber Layer Thickness Changes in Parkinson Disease: A Meta-Analysis
huang jinhai	China:Wenzhou Med Univ, Affiliated Eye Hosp, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	CORNEA	Comparison and Evaluation of Central Corneal Thickness Using 2 New Noncontact Specular Microscopes and Conventional Pachymetry Devices
huang jinhai	China:Wenzhou Med Univ, Affiliated Eye Hosp, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Translation, Cultural Adaptation, and Rasch Analysis of the Visual Function (VF-14) Questionnaire
huang jufang	China:Cent S Univ, Dept Anat & Neurobiol, Xiangya Sch Med, Changsha 410013, Hunan,Peoples R China. Central South University	CURRENT EYE RESEARCH	Differential Changes of Local Blood Supply in Rat Retinae Are Involved in the Selective Loss of Retinal Ganglion Cells Following the Acute High Intraocular Pressure
huang jufang	China:Cent S Univ, Dept Anat & Neurobiol, Xiangya Sch Med, Changsha 410013, Hunan,Peoples R China. Central South University	EXPERIMENTAL EYE RESEARCH	Distribution of thrombospondins and their neuronal receptor alpha 2 beta 1 in the rat retina
huang li	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CURRENT EYE RESEARCH	CSM Enhances the Filtration Bleb Survival in Rabbit Model of Experimental Glaucoma Surgery
huang li	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Upregulation of Low-Density Lipoprotein Receptor After Exposure to Transforming Growth Factor-beta(2) in Tenon's Capsule Fibroblasts from Patients with Glaucoma
huang libin	China:Fujian Med Univ, Fujian Inst Ophthalmol, Affiliated Hosp 1, Dept Ophthalmol, Fuzhou 350005,Peoples R China. Fujian Medical University	OCULAR IMMUNOLOGY AND INFLAMMATION	Transplantation of CX3CL1-expressing Mesenchymal Stem Cells Provides Neuroprotective and Immunomodulatory Effects in a Rat Model of Retinal Degeneration
huang lina	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen,Peoples R China. Jinan University	OPHTHALMOLOGY	Retinal Nerve Fiber Layer Imaging with Spectral-Domain Optical Coherence Tomography A Variability and Diagnostic Performance Study
huang p	China:Shanghai Jiao Tong Univ, Ruijin Hosp Affiliated, Dept Ophthalmol, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Influence of learning effect on blue-on-yellow perimetry
huang p	China:Shanghai Jiao Tong Univ, Ruijin Hosp Affiliated, Dept Ophthalmol, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	JAPANESE JOURNAL OF OPHTHALMOLOGY	Correlation between blue-on-yellow perimetry and scanning laser polarimetry with variable corneal compensation measurements in primary open-angle glaucoma
huang ping	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	JOURNAL OF GLAUCOMA	A 12-week, Double-masked, Parallel-group Study of the Safety and Efficacy of Travoprost 0.004% Compared With Pilocarpine 1% in Chinese Patients With Primary Angle-closure and Primary Angle-closure Glaucoma
huang ping	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	JAPANESE JOURNAL OF OPHTHALMOLOGY	Use of microperimetry to compare macular light sensitivity in eyes with open-angle and angle-closure glaucoma
huang ping	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	JOURNAL OF GLAUCOMA	Increased Iridial Pigmentation in Chinese Eyes After Use of Travoprost 0.004%
huang ping	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	JOURNAL OF GLAUCOMA	Serum Cytokine Alteration is Associated With Optic Neuropathy in Human Primary Open Angle Glaucoma
huang ping	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	JOURNAL OF GLAUCOMA	Fixation Behavior in Primary Open Angle Glaucoma at Early and Moderate Stage Assessed by the MicroPerimeter MP-1
huang ping	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	JOURNAL OF GLAUCOMA	Interocular Asymmetry of the Visual Field Defects in Newly Diagnosed Normal-tension Glaucoma, Primary Open-angle Glaucoma, and Chronic Angle-closure Glaucoma
huang ping	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	EXPERIMENTAL EYE RESEARCH	CD4 positive T helper cells contribute to retinal ganglion cell death in mouse model of ischemia reperfusion injury
huang ping	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	JOURNAL OF GLAUCOMA	Efficacy of Tetrandrine on Lowering Intraocular Pressure in Animal Model With Ocular Hypertension
huang qiang	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	How Often Are Major Blood-Borne Pathogens Found in Eye Patients? A Serosurvey at an Eye Hospital in Southern China
huang qunxiao	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, Dept Prevent Ophthalmol, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Appositional Closure Identified by Ultrasound Biomicroscopy in Population-Based Primary Angle-Closure Glaucoma Suspects: The Liwan Eye Study
huang huang	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	JOURNAL OF GLAUCOMA	Retinal Nerve Fiber Layer Thickness in Normal Hong Kong Chinese Children Measured With Optical Coherence Tomography
huang rui	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Increased expression of the transient receptor potential cation channel 6 gene in patients with primary open-angle glaucoma
