adan alfredo	China:Chinese Univ Hong Kong, Dept Ophthalmol, Hong Kong Sanat & Hosp, Happy Valley, Hong Kong,Peoples R China. Chinese University of Hong Kong	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Visual Outcomes of Intravitreal Bevacizumab in Inflammatory Ocular Neovascularization
fan jiangli	China:Fourth Mil Med Univ, Xijing Hosp, Dept Ophthalmol, Xian 710032, Shaanxi Prov,Peoples R China. Fourth Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Rac1 activates HIF-1 in laser induced choroidal neovascularization
fan jiawen	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Supplementation with antioxidants attenuates transient worsening of retinopathy in diabetes caused by acute intensive insulin therapy
fan jiawen	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	High salt loading alters the expression and localization of glial aquaporins in rat retina
fan jiawen	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Aquaporin Changes during Diabetic Retinopathy in Rats Are Accelerated by Systemic Hypertension and Are Linked to the Renin-Angiotensin System
fan jiawen	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	High-salt loading exacerbates increased retinal content of aquaporins AQP1 and AQP4 in rats with diabetic retinopathy
fan jiawen	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Pharmacologic Induction of Heme Oxygenase-1 Plays a Protective Role in Diabetic Retinopathy in Rats
fan jiawen	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	ERK1/2 Signaling Pathways Involved in VEGF Release in Diabetic Rat Retina
fan ning	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Retinal Nerve Fiber Layer Imaging with Spectral-Domain Optical Coherence Tomography A Variability and Diagnostic Performance Study
fan ning	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Evaluation of Retinal Nerve Fiber Layer Progression in Glaucoma: A Study on Optical Coherence Tomography Guided Progression Analysis
fan ning	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen Key Lab Ophthalmol, Shenzhen 518040,Peoples R China. Jinan University	EXPERIMENTAL EYE RESEARCH	Neuroprotective effects of C3 exoenzyme in excitotoxic retinopathy
fan qian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	TRPC6: an underlying target for human glaucoma
fan qian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Increased expression of the transient receptor potential cation channel 6 gene in patients with primary open-angle glaucoma
fan qian	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	BMC OPHTHALMOLOGY	Peripapillary choroidal thickness in healthy Chinese subjects
fan qinhua	China:Bayi Hosp, Dept Ophthalmol, Nanjing 210002, Jiangsu,Peoples R China. 	MOLECULAR VISION	Effects of anti-VEGF agents on rat retinal Muller glial cells
fan shengjun	China:Harbin Med Coll, Dept Pharmacol, Harbin,Peoples R China. Harbin Medical University	MOLECULAR VISION	Pharmacokinetic study of mangiferin in rat plasma and retina using high-performance liquid chromatography
fan wenying	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Comparison of photochromic, yellow, and clear intraocular lenses in human eyes under photopic and mesopic lighting conditions
fan xiang	China:Peking Univ Third Hosp, Peking Univ Eye Ctr, Key Lab Vis Loss & Restorat, Beijing 100191,Peoples R China. Peking University	OPHTHALMOLOGY	Usefulness of Frequency-Doubling Technology for Perimetrically Normal Eyes of Open-Angle Glaucoma Patients with Unilateral Field Loss
fan xianqun	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Peoples Hosp 9, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	PLOS ONE	HIV-1 Tat-Mediated Apoptosis in Human Blood-Retinal Barrier-Associated Cells
fan xianqun	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Peoples Hosp 9, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Enzyme-Induced Vitreolysis Can Alleviate the Progression of Diabetic Retinopathy Through the HIF-1 alpha Pathway
fan xianqun	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Peoples Hosp 9, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	MMP-2, MMP-3, TIMP-1, TIMP-2, and TIMP-3 Protein Levels in Human Aqueous Humor: Relationship With Axial Length
fan xiaohui	China:Hebei Med Univ, Hosp 4, Dept Ophthalmol, Shijiazhuang 050011, Hebei Province,Peoples R China. Hebei Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	MMP-2 gene polymorphisms in type 2 diabetes mellitus diabetic retinopathy
fan xiaorui	China:Heilongjiang Univ Tradit Chinese Med, Postgrad Sch, Harbin 150040, Heilongjiang Pr,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Advances in researches on the optic nerve protection
fan yan	China:Harbin Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Harbin 150001, Heilongjiang Pr,Peoples R China. Harbin Medical University	MOLECULAR VISION	Astaxanthin protects ARPE-19 cells from oxidative stress via upregulation of Nrf2-regulated phase II enzymes through activation of PI3K/Akt
fan yazhi	China:Xi An Jiao Tong Univ, Affiliated Hosp 2, Coll Med, Dept Ophthalmol, Xian 710004, Shaanxi,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	A feasibility study of recombinant adeno-associated virus as a vector for transferring a target gene to retina
fan yichao	China:Fudan Univ, Huashan Hosp, Dept Ophthalmol, Shanghai,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	Exendin-4 alleviates retinal vascular leakage by protecting the blood-retinal barrier and reducing retinal vascular permeability in diabetic Goto-Kakizaki rats
fan yinchuan	China:Sichuan Acad Med Sci, Dept Ophthalmol, Chengdu, Sichuan,Peoples R China. 	MOLECULAR VISION	An association study of SERPING1 gene and age-related macular degeneration in a Han Chinese population
fan ying	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Affiliated Peoples Hosp 1, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	A SiRNA Targeting Vascular Endothelial Growth Factor-A Inhibiting Experimental Corneal Neovascularization
fan ying	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Affiliated Peoples Hosp 1, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	OPHTHALMIC SURGERY LASERS & IMAGING	Combination of Internal Limiting Membrane Peeling and Endophotocoagulation for Retinal Detachment Related to High Myopia in Patients With Macular Hole
fan yingchuan	China:Sichuan Acad Med Sci, Dept Ophthalmol, Sichuan Prov Peoples Hosp, Chengdu 610072, Sichuan Prov,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Prevalence and causes of visual impairment and blindness in Sichuan province of China
fan yingchuan	China:Sichuan Acad Med Sci, Dept Ophthalmol, Sichuan Prov Peoples Hosp, Chengdu 610072, Sichuan Prov,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Changed trends of major causes of visual impairment in Sichuan, China from 1987 to 2006
fang dan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Role of TLR2, TRL3, TRL4, and TRL9 Signaling in the Pathogenesis of Autoimmune Disease in a Retinal Autoimmunity Model
fang fang	China:Peking Univ, Minist Educ, Key Lab Machine Percept, Beijing 100871,Peoples R China. Peking University	JOURNAL OF VISION	Adaptive changes in visual cortex following prolonged contrast reduction
fang fang	China:Wenzhou Med Univ, Sch Optometry & Ophthalmol, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Role of cGMP in Ocular Growth and the Development of Form-Deprivation Myopia in Guinea Pigs
fang haizhen	China:Wenzhou Med Coll, Sch Ophthamol & Optometry, Key Lab Vis Sci, Minist Hlth PR China, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	OPTOMETRY AND VISION SCIENCE	Diurnal Variation of Ocular Hysteresis, Corneal Thickness, and Intraocular Pressure
fang jiahua	China:Yangtze Univ, Dept Ophthalmol, Hosp Jingzhou 1, Jinzhou 434000, Hubei Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Bis (7)-tacrine protects retinal ganglion cells against excitotoxicity via NMDA receptor inhibition
fang jiahua	China:Yangtze Univ, Dept Ophthalmol, Hosp Jingzhou 1, Jinzhou 434000, Hubei Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Histological observation of RGCs and optic nerve injury in acute ocular hypertension rats
fang jiazhu	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Role of TLR2, TRL3, TRL4, and TRL9 Signaling in the Pathogenesis of Autoimmune Disease in a Retinal Autoimmunity Model
fang jun	China:Daqing Oilfield Gen Hosp, Saertu 163001, Daqing,Peoples R China. 	VISION RESEARCH	The development of eye shape and the origin of lower field myopia in the guinea pig eye
fang kai	China:Peking Univ, Hlth Sci Ctr, Dept Epidemiol & Biostat, Sch Publ Hlth, Beijing 100191,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical CollegeUnion School of Public Health - PUMCPeking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Association of Genetic Polymorphisms and Age-Related Macular Degeneration in Chinese Population
fang lihua	China:Nanchang Hangkong Univ, Key Lab Nondestruct Test, Minist Educ, Nanchang,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPTOMETRY	Evaluation of optical quality in white light from wavefront aberrations for a myopic population of human eyes
fang lijian	China:Liangxiang Hosp, Dept Ophthalmol, Beijing 102401,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Culture and identification of endothelial progenitor cells from human umbilical cord blood
fang lin	China:First Peoples Hosp Yunnan Prov, Dept Ophthalmol, Kunming 650032, Yunnan Province,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Genotyping analysis of a polymorphic G-954C of NOS2A in diabetic retinopathy with cystoid macular edema
fang wang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGY	Clinical features of Chinese patients with Behcet's disease
fang wang	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Study of Macular Function by Multifocal Electroretinography in Patients With Vogt-Koyanagi-Harada Syndrome
fang wei	China:Sir Run Run Shaw Hosp, Ophthalmol Ctr, Hangzhou 310016, Zhejiang,Peoples R China. Zhejiang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Risk factors related to chronic rhegmatogenous retinal detachment
fang x	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	EYE	Anatomical and visual outcome after vitrectomy with triamcinolone acedonide-assisted epiretinal membrane removal in highly myopic eyes with retinal detachment due to macular hole
fang x	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	EYE	Optical coherence tomographic characteristics and surgical outcome of eyes with myopic foveoschisis
fang x	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	EYE	Surgical outcome after removal of idiopathic macular epiretinal membrane in young patients
fang x	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	PLOS ONE	Molecular Analysis and Phenotypic Study in 14 Chinese Families with Bietti Crystalline Dystrophy
fang x	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Co-existent choroidal neovascular membrane and macular hole in pathologic myopia: a long follow-up clinical outcome and literature review
fang x	China:Zhejiang Univ, Sch Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	CURRENT EYE RESEARCH	RhoA Activation and Effect of Rho-kinase Inhibitor in the Development of Retinal Neovascularization in a Mouse Model of Oxygen-induced Retinopathy
fang yanwen	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	MOLECULAR VISION	Using HSV-TK/GCV suicide gene therapy to inhibit lens epithelial cell proliferation for treatment of posterior capsular opacification
fang yanwen	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Photodynamic Therapy for Symptomatic Circumscribed Macular Choroidal Hemangioma in Chinese Patients
fang yuan	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	CURRENT EYE RESEARCH	Rescue of Photoreceptors by BDNF Gene Transfer Using In Vivo Electroporation in the RCS Rat of Retinitis Pigmentosa
fang yuan	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	Neuroprotective effect of transcorneal electrical stimulation on ischemic damage in the rat retina
fang zhijia	China:Sichuan Univ, W China Hosp, Dept Radiol, W China MR Res Ctr HMRRC, Chengdu 610064,Peoples R China. Sichuan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Structural Brain Abnormalities in Patients with Primary Open-Angle Glaucoma: A Study with 3T MR Imaging
fangtian d	China:Chinese Acad Med Sci, Dept Ophthalmol, Peking Union Med Coll Hosp, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPHTHALMIC RESEARCH	Intraocular Transplantation of Human Adipose-Derived Mesenchymal Stem Cells in a Rabbit Model of Experimental Retinal Holes
fei jia	China:Jinan Univ, Coll Med, Dept Biochem & Mol Biol, Guangzhou 510632, Guangdong,Peoples R China. Jinan University	EXPERIMENTAL EYE RESEARCH	Seed-targeting anti-miR-21 inhibiting malignant progression of retinoblastoma and analysis of their phosphorylation signaling pathways
fei ping	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Xin Hua Hosp, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	MOLECULAR VISION	Identification of two novel LRP5 mutations in families with familial exudative vitreoretinopathy
fei ping	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Xin Hua Hosp, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	BRITISH JOURNAL OF OPHTHALMOLOGY	Clinical characteristics and treatment of 22 eyes of morning glory syndrome associated with persistent hyperplastic primary vitreous
fei ping	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Xin Hua Hosp, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	MOLECULAR VISION	Novel mutations in the TSPAN12 gene in Chinese patients with familial exudative vitreoretinopathy
fei ping	China:Shanghai Jiao Tong Univ, Sch Med, Dept Ophthalmol, Xin Hua Hosp, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Genetic Variant in the SKIV2L Gene Is Significantly Associated With Age-Related Macular Degeneration in a Han Chinese Population
fei ping	China:Shanghai Xinhua Hosp, Shanghai,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Findings of perinatal ocular examination performed on 3573, healthy full-term newborns
feng chao	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430060, Hubei Province,Peoples R China. Wuhan University	OPHTHALMOLOGICA	Sweep Pattern Visual Evoked Potential Acuity in Children during Their Periods of Visual Development
feng fei	China:Nanjing Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Nanjing 210029, Jiangsu,Peoples R China. Nanjing Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Bevacizumab treatment reduces retinal neovascularization in a mouse model of retinopathy of prematurity
feng haixiao	China:Xi An Jiao Tong Univ, Affiliated Hosp 2, Coll Med, Dept Ophthalmol, Xian 710004, Shaanxi,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	A feasibility study of recombinant adeno-associated virus as a vector for transferring a target gene to retina
feng hao	China:China Med Univ, Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Provin,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Epidemic studies of diabetic retinopathy in China-a review
feng jianping	China:Capital Med Univ, Beijing Tongren Hosp, Dept Endocrinol, Beijing,Peoples R China. Capital Medical University	PLOS ONE	Evaluation for Fasting and 2-hour Glucose and HbA(1)c for Diagnosing Diabetes Based on Prevalence of Retinopathy in a Chinese Population
