ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
guo huiling	China:Chinese Peoples Liberat Army Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	OPHTHALMOLOGY	Moscow Eye Microsurgery Complex in Russia Keratoprosthesis in Beijing
guo jia	China:Capital Med Univ, Dept Ophthalmol, Beijing Anzhen Hosp, Beijing 100029,Peoples R China. Capital Medical University	INDIAN JOURNAL OF OPHTHALMOLOGY	Corneal arcus and xanthomas in homozygous familial hypercholesterolemia: First report from China
guo jiang	China:Second Peoples Hosp Shenzhen, Dept Ophthalmol, Shenzhen 518035, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effects of glycemic control on refraction in diabetic patients
guo jiyuan	China:Anyang Eye Hosp, Anyang, Henan Province,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Full correction and Undercorrection of Myopia Evaluation Trial: design and baseline data of a randomized, controlled, double-blind trial
guo liang	China:Shandong Univ, Qilu Hosp, Dept Ophthalmol, Jinan 250100,Peoples R China. Shandong University	PLOS ONE	Low-Dose Strontium-90 Irradiation Is Effective in Preventing the Recurrence of Pterygia: A Ten-Year Study
guo liheng	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041, Sichuan Prov,Peoples R China. Sichuan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Arg124Cys mutation of the TGFBI gene in a Chinese pedigree of Reis-Bucklers corneal dystrophy
guo liheng	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041, Sichuan Prov,Peoples R China. Sichuan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	TGFBI gene mutation analysis in a Chinese pedigree of Avellino corneal dystrophy
guo liheng	China:Sichuan Univ, W China Hosp, Dept Ophthalmol, Chengdu 610041, Sichuan Prov,Peoples R China. Sichuan University	PLOS ONE	Exome Sequencing Identifies Compound Heterozygous Mutations in CYP4V2 in a Pedigree with Retinitis Pigmentosa
guo meihua	China:Harbin Med Univ, Dept Pharm, Affiliated Hosp 1, Harbin 150001,Peoples R China. Harbin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	In vitro extraction of intra-corneal iron using reverse iontophoresis and vitamin C
guo ning	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Confocal Comparison of Corneal Nerve Regeneration and Keratocyte Reaction between FS-LASIK, OUP-SBK, and Conventional LASIK
guo ping	China:Jinan Univ, Coll Med, Shenzhen Ophthalm Ctr, Shenzhen 518001, Guangdong,Peoples R China. Jinan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Implantation of modified poly 2-hydroxyethy methacrylate-Polymethyl methacrylate Keratoprostheses in rabbit and monkey corneas
guo ping	China:Jinan Univ, Coll Med, Shenzhen Ophthalm Ctr, Shenzhen 518001, Guangdong,Peoples R China. Jinan University	CORNEA	Surgical Resection and Amniotic Membrane Transplantation for Treatment of Refractory Giant Papillae in Vernal Keratoconjunctivitis
guo qing	China:Harbin Inst Technol, Dept Life Sci & Engn, Harbin 150006,Peoples R China. Harbin Institute of Technology	ACTA OPHTHALMOLOGICA	A comparison of the effectiveness between amniotic membrane homogenate and transplanted amniotic membrane in healing corneal damage in a rabbit model
guo ruichao	China:Ocean Univ China, Coll Marine Life Sci, Dept Marine Biol, Qingdao 266003, Shandong,Peoples R China. Ocean University of China	MOLECULAR VISION	Establishment and characterization of a novel untransfected corneal endothelial cell line from New Zealand white rabbits
guo wenyi	China:Fudan Univ, Shanghai Med Sch, Eye & Ear Nose Throat Hosp, Dept Ophthalmol & Vis Sci, Shanghai 200032,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	The effect of caffeine on intraocular pressure: a systematic review and meta-analysis
guo xiangming	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	PAX6 Mutations Identified in 4 of 35 Families with Microcornea
guo xiangming	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	A novel mutation of PAX6 in Chinese patients with new clinical features of Peters' anomaly
guo xiangming	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Mutational screening of six genes in Chinese patients with congenital cataract and microcornea
guo xianjian	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Repeatability and agreement of CCT measurement in myopia using entacam and ultrasound pachymetry
guo xiaobo	China:Sun Yat Sen Univ, Sch Math & Computat Sci, Dept Stat Sci, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of corneal changes with accommodation in young and presbyopic populations using Pentacam High Resolution Scheimpflug system
guo xiaoling	China:Jinan Univ, Inst Biomed, Guangzhou, Guangdong,Peoples R China. Jinan University	EXPERIMENTAL EYE RESEARCH	Transduced protein transduction domain linked HSP27 protected LECs against UVB radiation-induced damage
guo xinwu	China:BGI Shenzhen, Shenzhen, Guangdong,Peoples R China. 	PLOS ONE	Exome Sequencing Identifies Compound Heterozygous Mutations in CYP4V2 in a Pedigree with Retinitis Pigmentosa
guo xinxing	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sodium Hyaluronate Decreases Ocular Surface Toxicity Induced by Benzalkonium Chloride-Preserved Latanoprost: An In Vivo Study
guo yl	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	CURRENT EYE RESEARCH	Association of TLR2 and TLR4 Gene Single Nucleotide Polymorphisms with Fungal Keratitis in Chinese Han Population
guo yin	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Parapapillary Beta Zone in Primary School Children in Beijing: Associations With Outdoor Activity
guo yin	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Outdoor Activity and Myopia among Primary Students in Rural and Urban Regions of Beijing
guo yin	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	PLOS ONE	Five-Year Follow-Up of Parapapillary Atrophy: The Beijing Eye Study
guo yin	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	PLOS ONE	Prevalence and Associations of Steep Cornea/Keratoconus in Greater Beijing. The Beijing Eye Study
guo yin	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	PLOS ONE	Myopic Shift and Outdoor Activity among Primary School Children: One-Year Follow-Up Study in Beijing
guo yongyuan	China:Shandong Univ, Qilu Hosp, Dept Ophthalmol, Jinan 250100,Peoples R China. Shandong University	PLOS ONE	Low-Dose Strontium-90 Irradiation Is Effective in Preventing the Recurrence of Pterygia: A Ten-Year Study
guo yuanyuan	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	MOLECULAR VISION	A nonsense mutation of CRYGC associated with autosomal dominant congenital nuclear cataracts and microcornea in a Chinese pedigree
han bo	China:Huazhong Univ Sci & Technol, Union Hosp, Tongji Med Coll, Dept Ophthalmol, Wuhan 430074,Peoples R China. Huazhong University of Science & Technology	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Knockdown of Both p120 Catenin and Kaiso Promotes Expansion of Human Corneal Endothelial Monolayers via RhoA-ROCK-Noncanonical BMP-NF kappa B Pathway
han chengcheng	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 2, Harbin 150086, Heilongjiang,Peoples R China. Harbin Medical University	MOLECULAR VISION	A mutation in the UBIAD1 gene in a Han Chinese family with Schnyder corneal dystrophy
han jm	China:Sun Yat Sen Univ, Ctr Canc, State Key Lab Oncol, Guangzhou,Peoples R China. Sun Yat Sen University	EXPERIMENTAL EYE RESEARCH	MUC19 expression in human ocular surface and lacrimal gland and its alteration in Sjogren syndrome patients
han jingyi	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang,Peoples R China. China Medical University	MOLECULAR VISION	Differentiation of rabbit bone marrow mesenchymal stem cells into corneal epithelial cells in vivo and ex vivo
han lei	China:Henan Eye Inst, Henan Key Lab Keratopathy, Zhengzhou 450003,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Spectrum of fungal keratitis in central China
han shasha	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	In Vitro and In Vivo Effectiveness Evaluation of Balofloxacin in Experimental Staphylococcus aureus Keratitis
han suning	China:Guangzhou Mil Command, Guangzhou Gen Hosp, Dept Ophthalmol, Guangzhou 510010, Guangdong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Comparison of TGF-beta(1) in tears and corneal haze following Epi-LASIK with and without mitomycin C
han xi	China:Huazhong Univ Sci & Technol, Dept Ophthalmol, Wuhan Union Hosp, Tongji Med Coll, Wuhan 430022, Hubei Province,Peoples R China. Huazhong University of Science & Technology	EXPERIMENTAL EYE RESEARCH	Potential anti-angiogenic role of Slit2 in corneal neovascularization
han xiaohui	China:Wenzhou Med Coll, Affiliated Hosp 2, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of myopic corneal diameter with the Orbscan II Topography System
han xiaoli	China:Fujian Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Fuzhou, Fujian,Peoples R China. Fujian Medical University	MOLECULAR VISION	Analysis of TGFBI gene mutations in Chinese patients with corneal dystrophies and review of the literature
han yun	China:Xiamen Univ, Sch Life Sci, Xiamen 361005, Fujian,Peoples R China. Xiamen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Netrin-1 Simultaneously Suppresses Corneal Inflammation and Neovascularization
han yuping	China:Washington Univ, Sch Med, Dept Ophthalmol & Visual Sci, St Louis, MO 63110 USA. Washington University	CURRENT EYE RESEARCH	A Unique TGFBI Protein in Granular Corneal Dystrophy Types 1 and 2
han yuping	China:Washington Univ, Sch Med, Dept Ophthalmol & Visual Sci, St Louis, MO 63110 USA. Washington University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Unique TGFBI Protein in Lattice Corneal Dystrophy
han zhaolong	China:Shanghai Jiao Tong Univ, Sch Naval Architecture Ocean & Civil Engn, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	CORNEA	Effects of Collagen Cross-Linking on the Interlamellar Cohesive Strength of Porcine Cornea
han zhaolong	China:Shanghai Jiao Tong Univ, Sch Naval Architecture Ocean & Civil Engn, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	JOURNAL OF REFRACTIVE SURGERY	Air Puff Induced Corneal Vibrations: Theoretical Simulations and Clinical Observations
han zhaolong	China:Shanghai Jiao Tong Univ, Sch Naval Architecture Ocean & Civil Engn, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	JOURNAL OF REFRACTIVE SURGERY	Biomechanical and Refractive Behaviors of Keratoconic Cornea Based on Three-Dimensional Anisotropic Hyperelastic Models
han zhaolong	China:Shanghai Jiao Tong Univ, Sch Naval Architecture Ocean & Civil Engn, Shanghai 200240,Peoples R China. Shanghai Jiao Tong University	JOURNAL OF REFRACTIVE SURGERY	Corneal Hysteresis With Intraocular Pressure of a Wide Range: A Test on Porcine Eyes
han zhumei	China:Affiliated Shanghai Tradit Med Univ, Putuo Hosp, Dept Ophthalmol, Shanghai,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	In Vivo Cross-Sectional Observation and Thickness Measurement of Bulbar Conjunctiva Using Optical Coherence Tomography
han zhumei	China:Shanghai Univ Tradit Chinese Med, Putuo Hosp, Dept Ophthalmol, Shanghai 200062,Peoples R China. Shanghai University of Traditional Chinese Medicine & Pharmacology	CORNEA	Lower Eyelid Tension in Young Adults Determined by a Simple Lid Tensiometer
hao jie	China:Harbin Med Coll, Clin Med Sch 1, Dept Ophthalmol, Harbin,Peoples R China. Harbin Medical University	ACTA OPHTHALMOLOGICA	A comparison of the effectiveness between amniotic membrane homogenate and transplanted amniotic membrane in healing corneal damage in a rabbit model
hao jilong	China:Jilin Univ, China Japan Union Hosp, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Pathogenic Spectrum of Fungal Keratitis and Specific Identification of Fusarium solani
hao jilong	China:Jilin Univ, China Japan Union Hosp, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Molecular mechanism of the inhibition effect of Celecoxib on corneal collagen degradation in three dimensions
hao jilong	China:Jilin Univ, China Japan Union Hosp, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Nanoparticles in the ocular drug delivery
hao jilong	China:Jilin Univ, China Japan Union Hosp, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Molecular mechanism of the inhibition effect of Lipoxin A4 on corneal dissolving pathology process
hao ming	China:Shanghai Jiao Tong Univ, Shanghai,Peoples R China. Shanghai Jiao Tong University	EXPERIMENTAL EYE RESEARCH	In vivo non-linear optical (NLO) imaging in live rabbit eyes using the Heidelberg Two-Photon Laser Ophthalmoscope
hao yansheng	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	OPHTHALMIC RESEARCH	The in vitro Study of Pressure Change Effect on Corneal Birefringence
hao yansheng	China:Peking Univ, Ctr Eye, Hosp 3, Beijing 100191,Peoples R China. Peking University	OPHTHALMOLOGY	Endothelial Keratoplasty: The Use of Viscoelastic as an Aid in Reattaching the Dislocated Graft in Abnormally Structured Eyes
he bing	China:Jilin Univ, Hosp 1, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Minimal trephination penetrating keratoplasty for severe fungal keratitis complicated with hypopyon
he dan	China:Jilin Univ, Mycol Res Ctr, Norman Bethune Coll Med, Dept Pathogenobiol, Changchun 130021,Peoples R China. Jilin University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Pathogenic Spectrum of Fungal Keratitis and Specific Identification of Fusarium solani
he dongyi	China:Guanghua Rheumatoid Arthrit Specialized Hosp, Dept Internal Med, Shanghai,Peoples R China. 	CURRENT EYE RESEARCH	Chloroquine Keratopathy of Rheumatoid Arthritis Patients Detected by In Vivo Confocal Microscopy
he fengying	China:Zhejiang Univ, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Conductive keratoplasty: an approach for the correction of residual hyperopia in post-lasik pseudophakia
he guang	China:Shanghai Jiao Tong Univ, Bio X Inst, Key Lab Genet Dev & Neuropsychiat Disorders, Minist Educ, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	MOLECULAR VISION	An Arg124His mutation in TGFBI associated to Avellino corneal dystrophy in a Chinese pedigree
he hong	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Changes in wave-front aberrations after rigid gas permeable contact lens fitting in post-laser in situ keratomileusis patients with visual complaints
he hong	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CORNEA	Changes in Corneal Biometry and the Associated Histology in Rhesus Monkeys Wearing Orthokeratology Contact Lenses
he huan	China:Xiamen Univ, Affiliated Xiamen Eye Ctr, Xiamen 361102,Peoples R China. Xiamen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Mouse Model of Limbal Stem Cell Deficiency Induced by Topical Medication With the Preservative Benzalkonium Chloride
he huan	China:Xiamen Univ, Affiliated Xiamen Eye Ctr, Xiamen 361102,Peoples R China. Xiamen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Therapeutic Effects of Epidermal Growth Factor on Benzalkonium Chloride-Induced Dry Eye in a Mouse Model
he hui	China:Xiamen Univ, Affiliated Xiamen Eye Ctr, Fujian Prov Key Lab Ophthalmol & Visual Sci, Xiamen 361005, Fujian,Peoples R China. Xiamen University	MOLECULAR VISION	Increased importin 13 activity is associated with the pathogenesis of pterygium
he hui	China:Xiamen Univ, Affiliated Xiamen Eye Ctr, Fujian Prov Key Lab Ophthalmol & Visual Sci, Xiamen 361005, Fujian,Peoples R China. Xiamen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Novel Method for Preservation of Human Corneal Limbal Tissue
he hui	China:Xiamen Univ, Affiliated Xiamen Eye Ctr, Fujian Prov Key Lab Ophthalmol & Visual Sci, Xiamen 361005, Fujian,Peoples R China. Xiamen University	MOLECULAR VISION	A mouse dry eye model induced by topical administration of benzalkonium chloride
